index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
187,Oceania,New Zealand,2020-10-21,1556.0,25.0,322.672,5.184,4822233.0,37.9,36085.843,82.29
188,Oceania,Australia,2020-10-21,27430.0,905.0,1075.691,35.49,25499881.0,37.9,44648.71,83.44
189,Oceania,Guam,2020-10-21,3886.0,67.0,23023.646,396.959,168783.0,31.4,,80.07
190,Oceania,Fiji,2020-10-21,33.0,2.0,36.812,2.231,896444.0,28.6,8702.975,67.44
191,Oceania,Solomon Islands,2020-10-21,3.0,,4.368,,686878.0,20.8,2205.923,73.0
192,Oceania,Papua New Guinea,2020-10-21,581.0,7.0,64.938,0.782,8947027.0,22.6,3823.1940000000004,64.5
193,Oceania,New Caledonia,2020-10-21,27.0,,94.574,,285491.0,33.4,,77.55
194,South America,Uruguay,2020-10-21,2623.0,52.0,755.097,14.97,3473727.0,35.6,20551.409,77.91
195,South America,Ecuador,2020-10-21,154115.0,12404.0,8735.163,703.053,17643060.0,28.1,10581.936000000002,77.01
196,South America,Venezuela,2020-10-21,87644.0,747.0,3082.156,26.27,28435943.0,29.0,16745.022,72.06
197,South America,Bolivia,2020-10-21,140037.0,8526.0,11996.628999999999,730.4019999999999,11673029.0,25.4,6885.829000000001,71.51
198,South America,Guyana,2020-10-21,3796.0,114.0,4826.084,144.935,786559.0,26.3,7435.047,69.91
199,South America,Suriname,2020-10-21,5144.0,109.0,8768.67,185.80599999999998,586634.0,29.6,13767.118999999999,71.68
200,South America,Brazil,2020-10-21,5273954.0,154837.0,24811.67,728.441,212559409.0,33.5,14103.452,75.88
201,South America,Chile,2020-10-21,494478.0,13702.0,25866.949,716.7739999999999,19116209.0,35.4,22767.037,80.18
202,South America,Falkland Islands,2020-10-21,13.0,,3732.415,,3483.0,,,81.44
203,South America,Colombia,2020-10-21,974139.0,29272.0,19144.729,575.2819999999999,50882884.0,32.2,13254.948999999999,77.29
204,South America,Paraguay,2020-10-21,56073.0,1231.0,7861.585999999999,172.59,7132530.0,26.5,8827.01,74.25
205,South America,Argentina,2020-10-21,1018986.0,27100.0,22546.045,599.614,45195777.0,31.9,18933.907,76.67
206,South America,Peru,2020-10-21,874118.0,33875.0,26511.042,1027.392,32971846.0,29.1,12236.706,76.74
207,World,World,2020-10-21,40856197.0,1125756.0,5241.469,144.424,7794798729.0,30.9,15469.207,72.58
